"medication","medication_definition_id","indications","rxcui","score","rank","nAtoms","name","synonym","tty","language","suppress","umlscui","ttypriority"
"Prometrium 200 MG Oral Capsule",31482,6,261319,100,1,9,"Progesterone 200 MG Oral Capsule [Prometrium]","Prometrium 200 MG Oral Capsule","SBD","ENG","N","C0875809",2
"Propafenone HCl 150 MG Oral Tablet",97608,1,861424,100,1,17,"Propafenone Hydrochloride 150 MG Oral Tablet","","SCD","ENG","N","C0938765",1
"Propafenone HCl 225 MG Oral Tablet",97609,1,861427,100,1,16,"Propafenone Hydrochloride 225 MG Oral Tablet","","SCD","ENG","N","C0938766",1
"Propafenone HCl 300 MG Oral Tablet",97610,2,861430,100,1,14,"Propafenone Hydrochloride 300 MG Oral Tablet","","SCD","ENG","N","C0979829",1
"Propecia 1 MG Oral Tablet",30152,1,213178,100,1,10,"Finasteride 1 MG Oral Tablet [Propecia]","Propecia 1 MG Oral Tablet","SBD","ENG","N","C0716168",2
"Propoxyphene N-APAP 100-650 MG TABS",19827,13,828576,75,1,7,"Acetaminophen 650 MG / propoxyphene napsylate 100 MG Oral Tablet","APAP 650 MG / propoxyphene napsylate 100 MG Oral Tablet","SCD","ENG","N","C2370691",1
"Propranolol HCl 10 MG Oral Tablet",17255,13,856448,100,1,27,"Propranolol Hydrochloride 10 MG Oral Tablet","","SCD","ENG","N","C0991735",1
"Propranolol HCl 20 MG Oral Tablet",20226,9,856457,100,1,32,"Propranolol Hydrochloride 20 MG Oral Tablet","","SCD","ENG","N","C0690193",1
"Propranolol HCl 20 MG/5ML Oral Solution",17253,1,856724,100,1,15,"Propranolol Hydrochloride 4 MG/ML Oral Solution","propranolol hydrochloride 20 MG per 5 ML Oral Solution","SCD","ENG","N","C0979843",1
"Propranolol HCl 40 MG Oral Tablet",3448,5,856519,100,1,30,"Propranolol Hydrochloride 40 MG Oral Tablet","","SCD","ENG","N","C0979844",1
"Propranolol HCl 60 MG Oral Tablet",20227,1,856556,100,1,16,"Propranolol Hydrochloride 60 MG Oral Tablet","","SCD","ENG","N","C0690198",1
"Propranolol HCl 80 MG Oral Tablet",3450,3,856578,100,1,19,"Propranolol Hydrochloride 80 MG Oral Tablet","","SCD","ENG","N","C2710426",1
"Propranolol HCl CR 120 MG Oral Capsule Extended Release 24 Hour",115051,1,856460,82,1,6,"24 HR Propranolol Hydrochloride 120 MG Extended Release Oral Capsule","propranolol hydrochloride 120 MG 24 HR Extended Release Oral Capsule","SCD","ENG","N","C1341009",1
"Propranolol HCl CR 60 MG Oral Capsule Extended Release 24 Hour",115409,5,856535,82,1,6,"24 HR Propranolol Hydrochloride 60 MG Extended Release Oral Capsule","propranolol hydrochloride 60 MG 24 HR Extended Release Oral Capsule","SCD","ENG","N","C1712083",1
"Propranolol HCl CR 80 MG Oral Capsule Extended Release 24 Hour",114719,6,856569,82,1,6,"24 HR Propranolol Hydrochloride 80 MG Extended Release Oral Capsule","propranolol hydrochloride 80 MG 24 HR Extended Release Oral Capsule","SCD","ENG","N","C1341011",1
"Propranolol-HCTZ 80-25 MG Oral Tablet",26468,1,856429,88,1,16,"Hydrochlorothiazide 25 MG / Propranolol Hydrochloride 80 MG Oral Tablet","HCTZ 25 MG / propranolol hydrochloride 80 MG Oral Tablet","SCD","ENG","N","C0977528",1
"Propylthiouracil 50 MG Oral Tablet",17258,2,198175,100,1,21,"Propylthiouracil 50 MG Oral Tablet","PTU 50 MG Oral Tablet","SCD","ENG","N","C0690207",1
"Prosed/DS 81.6 MG Oral Tablet",133316,2,730979,44,1,3,"D-BIOTIN 10 MG Oral Tablet","","SCD","ENG","N","C1964881",1
"Protonix 40 MG Oral Packet",139723,1,763308,67,1,6,"pantoprazole 40 MG Oral Granules [Protonix]","Protonix 40 MG Oral Granules","SBD","ENG","N","C2242278",2
"Protonix 40 MG Oral Tablet Delayed Release",31754,1,284400,100,1,11,"pantoprazole 40 MG Delayed Release Oral Tablet [Protonix]","Protonix 40 MG Delayed Release Oral Tablet","SBD","ENG","N","C0938971",2
"Protopic 0.03 % External Ointment",98466,2,284521,67,1,8,"Tacrolimus 0.0003 MG/MG Topical Ointment [Protopic]","Protopic 0.03 % Topical Ointment","SBD","ENG","N","C0939112",2
"Protopic 0.1 % External Ointment",98467,3,284520,67,1,9,"Tacrolimus 0.001 MG/MG Topical Ointment [Protopic]","Protopic 0.1 % Topical Ointment","SBD","ENG","N","C0939111",2
"Proventil HFA 108 (90 Base) MCG/ACT Inhalation Aerosol Solution",28859,22,746763,55,1,12,"200 ACTUAT Albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Proventil]","Proventil HFA 90 MCG/ACTUAT Metered Dose Inhaler, 200 ACTUAT","SBD","ENG","N","C1951493",2
"Provera 10 MG Oral Tablet",3474,2,1000124,100,1,9,"medroxyprogesterone acetate 10 MG Oral Tablet [Provera]","Provera 10 MG Oral Tablet","SBD","ENG","N","C0698565",2
"Provigil 100 MG Oral Tablet",30847,8,226426,100,1,11,"modafinil 100 MG Oral Tablet [Provigil]","Provigil 100 MG Oral Tablet","SBD","ENG","N","C0731744",2
"Provigil 200 MG Oral Tablet",24923,5,213471,100,1,13,"modafinil 200 MG Oral Tablet [Provigil]","Provigil 200 MG Oral Tablet","SBD","ENG","N","C0716546",2
"PROzac 20 MG Oral Capsule",3482,1,104849,100,1,9,"Fluoxetine 20 MG Oral Capsule [Prozac]","Prozac 20 MG Oral Capsule","SBD","ENG","N","C0355323",2
"PROzac 40 MG Oral Capsule",31259,1,261287,100,1,8,"Fluoxetine 40 MG Oral Capsule [Prozac]","Prozac 40 MG Oral Capsule","SBD","ENG","N","C0875775",2
"Pseudoephedrine HCl 120 MG Oral Tablet Extended Release 12 Hour",150035,1,1049154,100,1,5,"12 HR Pseudoephedrine Hydrochloride 120 MG Extended Release Oral Tablet","pseudoephedrine hydrochloride 120 MG 12 HR Extended Release Oral Tablet","SCD","ENG","N","C2954910",1
"Pulmicort Flexhaler 180 MCG/ACT Inhalation Aerosol Powder Breath Activated",151491,1,966524,55,1,9,"120 ACTUAT Budesonide 0.16 MG/ACTUAT Dry Powder Inhaler [Pulmicort]","120 ACTUAT Pulmicort Flexhaler 0.16 MG/ACTUAT Dry Powder Inhaler","SBD","ENG","N","C1948304",2
"Pulmicort Flexhaler 90 MCG/ACT Inhalation Aerosol Powder Breath Activated",151518,3,966529,55,1,8,"60 ACTUAT Budesonide 0.08 MG/ACTUAT Dry Powder Inhaler [Pulmicort]","Pulmicort 90 MCG/ACTUAT Dry Powder Inhaler, 60 ACTUAT","SBD","ENG","N","C1948306",2
"Pulmozyme 1 MG/ML Inhalation Solution",20095,3,205532,100,1,6,"Dornase Alfa 1 MG/ML Inhalant Solution [Pulmozyme]","Pulmozyme 1 MG/ML Inhalant Solution","SBD","ENG","N","C0706407",2
"PX Omeprazole 20 MG Oral Tablet Delayed Release",151450,1,402014,88,1,7,"Omeprazole 20 MG Delayed Release Oral Tablet","omeprazole 20 MG (as omeprazole magnesium 20.6 MG) Delayed Release Oral Tablet","SCD","ENG","N","C1319724",1
"Pylera 140-125-125 MG Oral Capsule",136731,1,1294621,78,1,10,"bismuth subcitrate 140 MG / Metronidazole 125 MG / tetracycline hydrochloride 125 MG Oral Capsule [Pylera]","Pylera (bismuth subcitrate 140 MG / metronidazole 125 MG / tetracycline hydrochloride 125 MG) Oral Capsule","SBD","ENG","N","C1948533",2
"Pyrazinamide 500 MG Oral Tablet",17335,1,198181,100,1,20,"Pyrazinamide 500 MG Oral Tablet","PZA 500 MG Oral Tablet","SCD","ENG","N","C0690247",1
"Pyridostigmine Bromide 60 MG Oral Tablet",111256,1,903857,100,1,15,"Pyridostigmine Bromide 60 MG Oral Tablet","","SCD","ENG","N","C0979896",1
"Pyridoxine HCl 25 MG Oral Tablet",20263,3,198951,100,1,17,"Vitamin B6 25 MG Oral Tablet","pyridoxine 25 MG Oral Tablet","SCD","ENG","N","C0692014",1
"Pyridoxine HCl 50 MG Oral Tablet",20264,3,639566,100,1,15,"Vitamin B6 50 MG Oral Tablet","pyridoxine 50 MG Oral Tablet","SCD","ENG","N","C0979907",1
"QC Ferrous Sulfate 325 (65 Fe) MG Oral Tablet",147176,1,310325,67,1,13,"ferrous sulfate 325 MG Oral Tablet","FESO4 325 MG Oral Tablet","SCD","ENG","N","C0976910",1
"QC Hydrocortisone 1 % External Cream",111652,1,1043690,60,1,4,"hydrocortisone acetate 10 MG/ML Topical Cream","hydrocortisone acetate 1 % Topical Cream","SCD","ENG","N","C2948291",1
"Quasense 0.15-0.03 MG Oral Tablet",134897,1,759469,50,2,11,"{84 (Ethinyl Estradiol 0.03 MG / Levonorgestrel 0.15 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Quasense 91 Day]","Quasense 91 Day Pack","BPCK","ENG","N","C1814890",12
"Quinapril HCl 10 MG Oral Tablet",122627,3,312748,100,1,16,"quinapril 10 MG Oral Tablet","quinapril (as quinapril hydrochloride) 10 MG Oral Tablet","SCD","ENG","N","C0979920",1
"Quinapril HCl 20 MG Oral Tablet",122629,3,312749,100,1,15,"quinapril 20 MG Oral Tablet","quinapril (as quinapril hydrochloride) 20 MG Oral Tablet","SCD","ENG","N","C0979921",1
"Quinapril HCl 40 MG Oral Tablet",122516,3,314203,100,1,19,"quinapril 40 MG Oral Tablet","quinapril (as quinapril hydrochloride) 40 MG Oral Tablet","SCD","ENG","N","C0981701",1
"Quinapril HCl 5 MG Oral Tablet",122583,1,312750,100,1,16,"quinapril 5 MG Oral Tablet","quinapril (as quinapril hydrochloride) 5 MG Oral Tablet","SCD","ENG","N","C0979922",1
"Quinapril-Hydrochlorothiazide 10-12.5 MG Oral Tablet",133686,1,310796,89,1,17,"Hydrochlorothiazide 12.5 MG / quinapril 10 MG Oral Tablet","HCTZ 12.5 MG / quinapril 10 MG Oral Tablet","SCD","ENG","N","C0977516",1
"Quinapril-Hydrochlorothiazide 20-12.5 MG Oral Tablet",133581,3,310797,89,1,14,"Hydrochlorothiazide 12.5 MG / quinapril 20 MG Oral Tablet","HCTZ 12.5 MG / quinapril 20 MG Oral Tablet","SCD","ENG","N","C0977517",1
"Quinapril-Hydrochlorothiazide 20-25 MG Oral Tablet",133154,2,310809,88,1,14,"Hydrochlorothiazide 25 MG / quinapril 20 MG Oral Tablet","HCTZ 25 MG / quinapril 20 MG Oral Tablet","SCD","ENG","N","C0977529",1
"Qvar 40 MCG/ACT Inhalation Aerosol Solution",98215,2,966538,63,1,7,"100 ACTUAT Beclomethasone Dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar]","100 ACTUAT Qvar 0.04 MG/ACTUAT Metered Dose Inhaler","SBD","ENG","N","C2346351",2
"Qvar 80 MCG/ACT Inhalation Aerosol Solution",98216,2,966542,63,1,5,"100 ACTUAT Beclomethasone Dipropionate 0.08 MG/ACTUAT Metered Dose Inhaler [Qvar]","100 ACTUAT Qvar 0.08 MG/ACTUAT Metered Dose Inhaler","SBD","ENG","N","C0939055",2
"RA Antiseptic Mouth Rinse Mouth/Throat Liquid",29621,1,1052709,33,1,2,"Hydrogen Peroxide 15 MG/ML Mucous Membrane Topical Solution [Orajel Mouth Sore Rinse]","Orajel Mouth Sore Rinse 1.5 % Mucous Membrane Topical Solution","SBD","ENG","N","C1949174",2
"Ramipril 1.25 MG Oral Capsule",141067,1,845488,100,1,22,"Ramipril 1.25 MG Oral Capsule","","SCD","ENG","N","C1161569",1
"Ramipril 10 MG Oral Capsule",139202,8,261962,100,1,29,"Ramipril 10 MG Oral Capsule","","SCD","ENG","N","C0876514",1
"Ramipril 2.5 MG Oral Capsule",139134,7,198188,100,1,24,"Ramipril 2.5 MG Oral Capsule","","SCD","ENG","N","C0690272",1
"Ramipril 5 MG Oral Capsule",139201,7,198189,100,1,29,"Ramipril 5 MG Oral Capsule","","SCD","ENG","N","C0690273",1
"Ranexa 1000 MG Oral Tablet Extended Release 12 Hour",137766,2,860737,100,1,8,"12 HR ranolazine 1000 MG Extended Release Oral Tablet [Ranexa]","Ranexa 1000 MG 12 HR Extended Release Oral Tablet","SBD","ENG","N","C2719664",2
"Ranexa 500 MG Oral Tablet Extended Release 12 Hour",133746,3,860738,100,1,11,"12 HR ranolazine 500 MG Extended Release Oral Tablet [Ranexa]","Ranexa 500 MG 12 HR Extended Release Oral Tablet","SBD","ENG","N","C2719665",2
"Ranitidine 75 75 MG Oral Tablet",138668,1,312773,86,1,15,"Ranitidine 75 MG Oral Tablet","ranitidine 75 MG (as ranitidine hydrochloride 84 MG) Oral Tablet","SCD","ENG","N","C0979948",1
"Ranitidine Acid Reducer 75 MG Oral Tablet",128683,1,312773,100,1,11,"Ranitidine 75 MG Oral Tablet","ranitidine 75 MG (as ranitidine hydrochloride 84 MG) Oral Tablet","SCD","ENG","N","C0979948",1
"Ranitidine HCl 15 MG/ML Oral Syrup",135069,4,705610,100,1,15,"Ranitidine 15 MG/ML Oral Solution","ranitidine 75 MG per 5 ML Syrup","SCD","ENG","N","C1948446",1
"Ranitidine HCl 150 MG Oral Capsule",26470,3,198190,100,1,19,"Ranitidine 150 MG Oral Capsule","ranitidine 150 MG (ranitidine hydrochloride 168 MG) Oral Capsule","SCD","ENG","N","C0690276",1
"Ranitidine HCl 150 MG Oral Tablet",19830,5,198191,100,1,46,"Ranitidine 150 MG Oral Tablet","ranitidine 150 MG (as ranitidine hydrochloride 168 MG) Oral Tablet","SCD","ENG","N","C0690278",1
"Ranitidine HCl 150 MG/10ML Oral Syrup",134074,4,705610,75,1,11,"Ranitidine 15 MG/ML Oral Solution","ranitidine 75 MG per 5 ML Syrup","SCD","ENG","N","C1948446",1
"Ranitidine HCl 300 MG Oral Tablet",26472,1,198193,100,1,26,"Ranitidine 300 MG Oral Tablet","ranitidine 300 MG (as ranitidine hydrochloride 336 MG) Oral Tablet","SCD","ENG","N","C0690281",1
"Ranitidine HCl 75 MG Oral Tablet",22552,1,312773,100,1,14,"Ranitidine 75 MG Oral Tablet","ranitidine 75 MG (as ranitidine hydrochloride 84 MG) Oral Tablet","SCD","ENG","N","C0979948",1
"Ranitidine HCl 75 MG/5ML Oral Syrup",17366,2,705610,86,1,17,"Ranitidine 15 MG/ML Oral Solution","ranitidine 75 MG per 5 ML Syrup","SCD","ENG","N","C1948446",1
"Rapamune 1 MG Oral Tablet",99562,3,351989,100,1,8,"Sirolimus 1 MG Oral Tablet [Rapamune]","Rapamune 1 MG Oral Tablet","SBD","ENG","N","C1169602",2
"Rapamune 2 MG Oral Tablet",111922,2,404432,100,1,7,"Sirolimus 2 MG Oral Tablet [Rapamune]","Rapamune 2 MG Oral Tablet","SBD","ENG","N","C1329637",2
"Rebif 22 MCG/0.5ML Subcutaneous Solution",100600,1,758032,100,1,13,"0.5 ML Interferon beta-1a 0.044 MG/ML Prefilled Syringe [Rebif]","Rebif 22 MCG per 0.5 ML Prefilled Syringe","SBD","ENG","N","C0732206",2
"Rebif 44 MCG/0.5ML Subcutaneous Solution",100601,1,758027,100,1,11,"0.5 ML Interferon beta-1a 0.088 MG/ML Prefilled Syringe [Rebif]","Rebif 44 MCG per 0.5 ML Prefilled Syringe","SBD","ENG","N","C1178592",2
"Reclast 5 MG/100ML Intravenous Solution",137104,4,705875,100,1,6,"zoledronic acid 0.05 MG/ML Injectable Solution [Reclast]","Reclast 0.05 MG/ML Injectable Solution","SBD","ENG","N","C1948543",2
"Reglan 5 MG Oral Tablet",17560,1,207265,100,1,9,"Metoclopramide 5 MG Oral Tablet [Reglan]","Reglan 5 MG Oral Tablet","SBD","ENG","N","C0708572",2
"Regranex 0.01 % External Gel",24272,1,213197,67,1,10,"Becaplermin 0.0001 MG/MG Topical Gel [Regranex]","Regranex 0.01 % Topical Gel","SBD","ENG","N","C0716191",2
"ReliOn 70/30 70-30 % SUSP",115092,1,213442,50,1,4,"NPH Insulin, Human 70 UNT/ML / Regular Insulin, Human 30 UNT/ML Injectable Suspension [Novolin]","Novolin 70/30 Injectable Suspension","SBD","ENG","N","C0716501",2
"Relpax 20 MG Oral Tablet",111399,3,404443,100,1,7,"eletriptan 20 MG Oral Tablet [Relpax]","Relpax 20 MG Oral Tablet","SBD","ENG","N","C1329648",2
"Relpax 40 MG Oral Tablet",111400,6,404444,100,1,11,"eletriptan 40 MG Oral Tablet [Relpax]","Relpax (as eletriptan hydrobromide) 40 MG Oral Tablet","SBD","ENG","N","C1329649",2
"Remeron 15 MG Oral Tablet",28681,1,211322,100,1,8,"Mirtazapine 15 MG Oral Tablet [Remeron]","Remeron 15 MG Oral Tablet","SBD","ENG","N","C0713361",2
"Remicade 100 MG Intravenous Solution Reconstituted",24654,4,213361,63,1,8,"infliximab 10 MG/ML Injectable Solution [Remicade]","Remicade 10 MG/ML Injectable Solution","SBD","ENG","N","C0716393",2
"Renagel 800 MG Oral Tablet",98183,1,857226,100,1,7,"Sevelamer hydrochloride 800 MG Oral Tablet [RenaGel]","RenaGel 800 MG Oral Tablet","SBD","ENG","N","C0939047",2
"Renvela 0.8 GM Oral Packet",154857,1,861377,60,1,5,"sevelamer carbonate 26.7 MG/ML Oral Suspension [Renvela]","Renvela 26.7 MG/ML Oral Suspension","SBD","ENG","N","C2719953",2
"Renvela 800 MG Oral Tablet",139104,6,749210,100,1,10,"sevelamer carbonate 800 MG Oral Tablet [Renvela]","Renvela 800 MG Oral Tablet","SBD","ENG","N","C1967412",2
"Requip XL 12 MG Oral Tablet Extended Release 24 Hour",149948,1,824961,100,1,7,"24 HR ropinirole 12 MG Extended Release Oral Tablet [Requip]","Requip XL 12 MG 24HR Extended Release Oral Tablet","SBD","ENG","N","C2369109",2
"Requip XL 2 MG Oral Tablet Extended Release 24 Hour",146849,2,799832,100,1,8,"24 HR ropinirole 2 MG Extended Release Oral Tablet [Requip]","Requip XL 2 MG 24HR Extended Release Oral Tablet","SBD","ENG","N","C2344822",2
"Requip XL 4 MG Oral Tablet Extended Release 24 Hour",146893,2,800497,100,1,8,"24 HR ropinirole 4 MG Extended Release Oral Tablet [Requip]","Requip XL 4 MG 24HR Extended Release Oral Tablet","SBD","ENG","N","C2345373",2
"Requip XL 6 MG Oral Tablet Extended Release 24 Hour",152094,2,848584,100,1,8,"24 HR ropinirole 6 MG Extended Release Oral Tablet [Requip]","Requip XL 6 MG 24HR Extended Release Oral Tablet","SBD","ENG","N","C2684190",2
"Requip XL 8 MG Oral Tablet Extended Release 24 Hour",146824,1,800499,100,1,8,"24 HR ropinirole 8 MG Extended Release Oral Tablet [Requip]","Requip XL 8 MG 24HR Extended Release Oral Tablet","SBD","ENG","N","C2345375",2
"Restasis 0.05 % Ophthalmic Emulsion",111888,2,402092,100,1,12,"Cyclosporine 0.5 MG/ML Ophthalmic Suspension [Restasis]","Restasis 0.05 % Ophthalmic Emulsion","SBD","ENG","N","C1320109",2
"Retin-A Micro 0.04 % External Gel",100945,1,805370,75,1,12,"Tretinoin 0.0004 MG/MG Topical Gel [Retin-A]","Retin-A 0.04 % Topical Gel","SBD","ENG","N","C1169826",2
"Retrovir 10 MG/ML Intravenous Solution",20468,2,108396,100,1,7,"Zidovudine 10 MG/ML Injectable Solution [Retrovir]","Retrovir 10 MG/ML Injectable Solution","SBD","ENG","N","C0361066",2
"Retrovir 50 MG/5ML Oral Syrup",138214,1,755298,100,1,8,"Zidovudine 10 MG/ML Oral Solution [Retrovir]","Retrovir 10 MG/ML Oral Solution","SBD","ENG","N","C0698521",2
"Revatio 20 MG Oral Tablet",130743,9,581645,100,1,9,"sildenafil 20 MG Oral Tablet [Revatio]","Revatio 20 MG Oral Tablet","SBD","ENG","N","C1612372",2
"Revlimid 25 MG Oral Capsule",134071,1,643722,100,1,7,"lenalidomide 25 MG Oral Capsule [Revlimid]","Revlimid 25 MG Oral Capsule","SBD","ENG","N","C1724168",2
"Reyataz 150 MG Oral Capsule",112749,1,402094,100,1,10,"Atazanavir 150 MG Oral Capsule [Reyataz]","Reyataz 150 MG Oral Capsule","SBD","ENG","N","C1320111",2
"Reyataz 200 MG Oral Capsule",112750,1,402093,100,1,9,"Atazanavir 200 MG Oral Capsule [Reyataz]","Reyataz 200 MG Oral Capsule","SBD","ENG","N","C1320110",2
"Reyataz 300 MG Oral Capsule",135179,2,664743,100,1,10,"Atazanavir 300 MG Oral Capsule [Reyataz]","Reyataz 300 MG Oral Capsule","SBD","ENG","N","C1812848",2
"Rhinocort Aqua 32 MCG/ACT Nasal Suspension",25725,9,746823,56,1,8,"120 ACTUAT Budesonide 0.032 MG/ACTUAT Nasal Inhaler [Rhinocort]","Rhinocort Aqua 32 MCG/ACTUAT Nasal Inhaler, 120 ACTUAT","SBD","ENG","N","C0875802",2
"Riboflavin 100 MG Oral Capsule",21069,1,247895,100,1,4,"Riboflavin 100 MG Oral Capsule","","SCD","ENG","N","C0789098",1
"Rifampin 150 MG Oral Capsule",26474,1,198201,100,1,17,"Rifampin 150 MG Oral Capsule","","SCD","ENG","N","C0690290",1
"Rifampin 300 MG Oral Capsule",19833,13,198202,100,1,23,"Rifampin 300 MG Oral Capsule","","SCD","ENG","N","C0690291",1
"Rilutek 50 MG Oral Tablet",28338,1,152915,100,1,10,"Riluzole 50 MG Oral Tablet [Rilutek]","Rilutek 50 MG Oral Tablet","SBD","ENG","N","C0593240",2
"Riomet 500 MG/5ML Oral Solution",114861,3,861027,100,1,9,"Metformin hydrochloride 100 MG/ML Oral Solution [Riomet]","Riomet 100 MG/ML Oral Solution","SBD","ENG","N","C1329932",2
"RisperDAL 1 MG Oral Tablet",26636,3,104781,100,1,13,"Risperidone 1 MG Oral Tablet [Risperdal]","Risperdal 1 MG Oral Tablet","SBD","ENG","N","C0355181",2
"RisperDAL 3 MG Oral Tablet",20092,1,104783,100,1,11,"Risperidone 3 MG Oral Tablet [Risperdal]","Risperdal 3 MG Oral Tablet","SBD","ENG","N","C0355183",2
"RisperDAL 4 MG Oral Tablet",20093,1,104784,100,1,11,"Risperidone 4 MG Oral Tablet [Risperdal]","Risperdal 4 MG Oral Tablet","SBD","ENG","N","C0355184",2
"RisperDAL Consta 25 MG Intramuscular Suspension Reconstituted",122814,3,706831,55,1,7,"Risperidone 12.5 MG/ML Injectable Suspension [Risperdal]","Risperdal 12.5 MG/ML Injectable Suspension","SBD","ENG","N","C1320099",2
"RisperDAL Consta 37.5 MG Intramuscular Suspension Reconstituted",123280,1,706827,58,1,7,"Risperidone 18.8 MG/ML Injectable Suspension [Risperdal]","Risperdal 18.8 MG/ML Injectable Suspension","SBD","ENG","N","C1320100",2
"RisperDAL Consta 50 MG Intramuscular Suspension Reconstituted",122978,1,706829,55,1,9,"Risperidone 25 MG/ML Injectable Suspension [Risperdal]","Risperdal 25 MG/ML Injectable Suspension","SBD","ENG","N","C1320101",2
"RisperiDONE 0.25 MG Oral Tablet",146975,14,312828,100,1,22,"Risperidone 0.25 MG Oral Tablet","","SCD","ENG","N","C0980010",1
"RisperiDONE 0.5 MG Oral Tablet",147014,18,312829,100,1,22,"Risperidone 0.5 MG Oral Tablet","","SCD","ENG","N","C0980011",1
"RisperiDONE 0.5 MG Oral Tablet Dispersible",151361,1,312829,86,1,22,"Risperidone 0.5 MG Oral Tablet","","SCD","ENG","N","C0980011",1
"RisperiDONE 1 MG Oral Tablet",146992,24,312830,100,1,28,"Risperidone 1 MG Oral Tablet","","SCD","ENG","N","C0980012",1
"RisperiDONE 1 MG/ML Oral Solution",146969,3,199387,100,1,9,"Risperidone 1 MG/ML Oral Solution","","SCD","ENG","N","C0692854",1
"RisperiDONE 2 MG Oral Tablet",147058,12,312831,100,1,24,"Risperidone 2 MG Oral Tablet","","SCD","ENG","N","C0980013",1
"RisperiDONE 3 MG Oral Tablet",146989,7,312832,100,1,23,"Risperidone 3 MG Oral Tablet","","SCD","ENG","N","C0980014",1
"RisperiDONE 4 MG Oral Tablet",146973,2,314211,100,1,20,"Risperidone 4 MG Oral Tablet","","SCD","ENG","N","C0981711",1
"RisperiDONE M-TAB 1 MG Oral Tablet Dispersible",151378,1,401953,70,1,2,"Risperidone 1 MG Disintegrating Oral Tablet","","SCD","ENG","N","C1319650",1
"Ritalin 10 MG Oral Tablet",20490,3,1091379,100,1,7,"Methylphenidate Hydrochloride 10 MG Oral Tablet [Ritalin]","Ritalin 10 MG Oral Tablet","SBD","ENG","N","C0361632",2
"Ritalin 5 MG Oral Tablet",20491,1,1091500,100,1,7,"Methylphenidate Hydrochloride 5 MG Oral Tablet [Ritalin]","Ritalin 5 MG Oral Tablet","SBD","ENG","N","C0708399",2
"Ritalin LA 20 MG Oral Capsule Extended Release 24 Hour",101117,1,1091167,100,1,6,"24 HR Methylphenidate Hydrochloride 20 MG Extended Release Oral Capsule [Ritalin]","24 HR Ritalin 20 MG Extended Release Oral Capsule","SBD","ENG","N","C1169579",2
"Rituxan 10 MG/ML Intravenous Concentrate",24219,1,213126,71,1,9,"rituximab 10 MG/ML Injectable Solution [Rituxan]","Rituxan 10 MG/ML Injectable Solution","SBD","ENG","N","C0716111",2
"Rivastigmine Tartrate 1.5 MG Oral Capsule",158409,1,314214,100,1,17,"rivastigmine 1.5 MG Oral Capsule","rivastigmine 1.5 MG (as rivastigmine tartrate 2.4 MG) Oral Capsule","SCD","ENG","N","C0981715",1
"Rivastigmine Tartrate 6 MG Oral Capsule",158454,1,312836,100,1,15,"rivastigmine 6 MG Oral Capsule","rivastigmine 6 MG (as rivastigmine tartrate 9.6 MG) Oral Capsule","SCD","ENG","N","C0980021",1
"Robafen AC 100-10 MG/5ML Oral Syrup",26598,1,996484,64,1,5,"Codeine Phosphate 2 MG/ML / Guaifenesin 20 MG/ML Oral Solution [Robafen AC]","Robafen AC (codeine phosphate 10 MG / guaifenesin 100 MG) per 5 ML Syrup","SBD","ENG","N","C0708886",2
"ROPINIRole HCl 0.25 MG Oral Tablet",143277,2,312845,100,1,17,"ropinirole 0.25 MG Oral Tablet","ropinirole 0.25 MG (as ropinirole hydrochloride) Oral Tablet","SCD","ENG","N","C0980034",1
"ROPINIRole HCl 0.5 MG Oral Tablet",143278,1,312846,100,1,15,"ropinirole 0.5 MG Oral Tablet","ropinirole (as ropinirole hydrochloride) 0.5 MG Oral Tablet","SCD","ENG","N","C0980035",1
"ROPINIRole HCl 1 MG Oral Tablet",141089,2,314208,100,1,12,"ropinirole 1 MG Oral Tablet","ropinirole 1 MG (as ropinirole hydrochloride) Oral Tablet","SCD","ENG","N","C0981708",1
"ROPINIRole HCl 2 MG Oral Tablet",143274,3,312847,100,1,16,"ropinirole 2 MG Oral Tablet","ropinirole 2 MG (as ropinirole hydrochloride) Oral Tablet","SCD","ENG","N","C0980036",1
"ROPINIRole HCl 3 MG Oral Tablet",143275,1,283858,100,1,13,"ropinirole 3 MG Oral Tablet","ropinirole 3 MG (as ropinirole hydrochloride) Oral Tablet","SCD","ENG","N","C0937995",1
"ROPINIRole HCl 5 MG Oral Tablet",146411,2,312849,100,1,10,"ropinirole 5 MG Oral Tablet","ropinirole (as ropinirole hydrochloride) 5 MG Oral Tablet","SCD","ENG","N","C0980038",1
"Rozerem 8 MG Oral Tablet",131245,2,603162,100,1,10,"ramelteon 8 MG Oral Tablet [Rozerem]","Rozerem 8 MG Oral Tablet","SBD","ENG","N","C1630699",2
"Ru-Tuss DM 45-15-100 MG/5ML Oral Syrup",31081,1,1090496,64,1,3,"Dextromethorphan Hydrobromide 3 MG/ML Oral Solution","dextromethorphan hydrobromide 15 MG per 5 ML Oral Solution","SCD","ENG","N","C2979212",1
"Rythmol SR 325 MG Oral Capsule Extended Release 12 Hour",115022,1,861167,100,1,7,"12 HR Propafenone Hydrochloride 325 MG Extended Release Oral Capsule [Rythmol]","12 HR Rythmol 325 MG Extended Release Oral Capsule","SBD","ENG","N","C1329881",2
